month,days,RP,EEV,WS,VSS,EVPI
6,30,1438418.3566423808,1574064.6553554155,1163636.262735611,135646.29871303472,274782.0939067699
7,31,1602418.6428417747,1755391.485748392,1332196.7851089302,152972.84290661724,270221.8577328446
8,31,1343625.8446739186,1509080.33473492,1146129.670150957,165454.49006100118,197496.17452296158
9,30,1195436.4795329077,1367080.5848305144,982537.7523858785,171644.10529760664,212898.72714702928
10,31,1215093.9669518997,1363368.351025785,1029761.4085280254,148274.38407388533,185332.5584238744
11,30,1325225.5317821756,1421639.543662127,1179576.834390592,96414.0118799514,145648.69739158364
12,31,1740809.4653589588,1823475.0721346752,1564457.436354539,82665.60677571633,176352.02900442007
