day,date,beta,budget_index,risk_reduction_fraction,risk_budget,scenario_expected,scenario_cvar,risk_multiplier,effective_tail_n,n_scenarios,max_history_day,solve_seconds,planned_cost,emergency_cost,total_cost,adjusted_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day,events,initial_soc,terminal_soc,balance_residual,soc_residual
151,2025-06-01,0.9,0,0.0,45432.61612100639,39967.887865596436,45432.61612100639,0.0,2.799999999999998,28,150,0.06520502800003669,37638.29557266718,55791.113385533405,93429.40895820058,94266.8578499451,62352.18343121291,9773.310941068466,11.870476643128086,54,1,4,6989.8600690943,4959.954325571376,4.263256414560601e-14,7.833733661755105e-13
151,2025-06-01,0.9,1,0.25,44502.922767249016,40007.4161744672,44502.922777249005,0.0714285714285717,2.799999999999998,28,150,0.10120373799986737,37810.75524596458,54973.22261810677,92783.97786407135,93605.41693555158,62593.266338103494,9579.023249621572,15.901242223280178,54,1,3,6989.8600690943,4998.760784601426,4.263256414560601e-14,8.988365607365267e-13
151,2025-06-01,0.9,2,0.5,43573.22941349164,40125.20402549062,43573.229423491655,0.18055555555555536,2.799999999999998,28,150,0.11151815199991688,38249.56102396692,51932.76877902605,90182.32980299297,90992.3504279525,63341.9007175969,8971.839852325953,15.901242223280178,49,1,2,6989.8600690943,5026.438139485987,4.263256414560601e-14,8.952838470577262e-13
151,2025-06-01,0.9,3,0.75,42643.536059734266,40367.779496359944,42643.53606973426,0.36363636363636315,2.799999999999998,28,150,0.12228068000013081,38650.626021916956,49622.20848240486,88272.83450432181,89072.2842582816,64043.33863293574,8383.699278990774,15.901242223280178,46,1,2,6989.8600690943,5052.061042528719,3.790023850314128e-14,8.952838470577262e-13
151,2025-06-01,0.9,4,1.0,41713.84270597689,41182.47158877306,41713.84271597689,64.914872798435,2.799999999999998,28,150,0.15934506300004614,40178.66832187535,40970.0710486447,81148.73937052005,81925.7100037428,66174.02061071852,6557.523225218114,31.602613740992865,39,1,3,6989.8600690943,5106.548542295289,5.684341886080802e-14,8.526512829121202e-13
151,2025-06-01,0.95,0,0.0,46558.24364449918,39967.887865596436,46558.24364449918,0.0,1.4000000000000006,28,150,0.06520502800003669,37638.29557266718,55791.113385533405,93429.40895820058,94266.8578499451,62352.18343121291,9773.310941068466,11.870476643128086,54,1,4,6989.8600690943,4959.954325571376,4.263256414560601e-14,7.833733661755105e-13
151,2025-06-01,0.95,1,0.25,45347.14340986861,40009.978282683594,45347.14341986861,0.07015077945310501,1.4000000000000006,28,150,0.09408739700006663,37856.04590869158,54448.91371787528,92304.95962656685,93136.12216212433,62709.476290252205,9456.757240813728,11.870476643128086,52,1,3,6989.8600690943,4975.191924731984,4.263256414560601e-14,8.526512829121202e-13
151,2025-06-01,0.95,2,0.5,44136.04317523804,40114.80293059909,44136.04318523806,0.12954509958117755,1.4000000000000006,28,150,0.11059081300004436,38100.7242446346,52805.198428620264,90905.92267325486,91725.18741645,63132.30330154628,9140.777292590024,15.901242223280178,50,1,3,6989.8600690943,5004.031173657638,3.790023850314128e-14,8.988365607365267e-13
151,2025-06-01,0.95,3,0.75,42924.94294060746,40329.227519209926,42924.942950607474,0.22315503988449886,1.4000000000000006,28,150,0.1169295920001332,38593.280312850795,49935.14882848466,88528.42914133545,89330.04102336965,63979.12292648517,8429.785790744483,21.253262270343612,46,1,2,6989.8600690943,5046.820225757972,5.684341886080802e-14,8.952838470577262e-13
151,2025-06-01,0.95,4,1.0,41713.84270597689,41182.47158877306,41713.84271597689,64.914872798435,1.4000000000000006,28,150,0.15955532699990727,40178.66832187535,40970.0710486447,81148.73937052005,81925.7100037428,66174.02061071852,6557.523225218114,31.602613740992865,39,1,3,6989.8600690943,5106.548542295289,5.684341886080802e-14,8.526512829121202e-13
152,2025-06-02,0.9,0,0.0,61615.75341277664,43512.35960272075,61615.75341277664,0.0,2.799999999999998,28,151,0.06534106100002646,40034.46150922208,42794.59719689324,82829.05870611532,82820.45747032782,67244.16360693717,6723.673507820791,1344.4673134716372,28,1,2,4958.5687936053,4979.417466400204,5.684341886080802e-14,9.094947017729282e-13
152,2025-06-02,0.9,1,0.25,58560.719764017995,43743.532908003464,58560.71977401804,0.129032258064516,2.799999999999998,28,151,0.10760188699987339,41052.70160479034,38716.84827304384,79769.54987783419,79720.69888772102,68720.83883674502,6042.81947447677,2037.250747487605,24,1,2,4958.5687936053,5076.979488735504,1.1368683772161603e-13,9.094947017729282e-13
152,2025-06-02,0.9,2,0.5,55505.686115259334,44362.80369971886,55505.68612525932,0.2751119398491849,2.799999999999998,28,151,0.11886286699996162,42358.7626180934,33229.60356702647,75588.36618511987,75491.38268809595,70635.44534832973,5135.755712281985,2869.6663686236043,22,1,2,4958.5687936053,5193.6486409565705,1.1368683772161603e-13,9.094947017729282e-13
152,2025-06-02,0.9,3,0.75,52450.65246650067,46021.58551166022,52450.65247650067,0.8181818181818177,2.799999999999998,28,151,0.14012443599995095,45026.81924203767,20129.29086058711,65156.11010262478,64992.52291415492,74375.49258302916,3054.1115117667478,4239.782080505435,17,1,1,4958.5687936053,5355.090392374151,1.1368683772161603e-13,9.094947017729282e-13
152,2025-06-02,0.9,4,1.0,49395.618817742026,49244.292579146444,49395.61882774204,17.313771026864174,2.799999999999998,28,151,0.147658126999886,49111.66849108081,6305.583609813666,55417.252100894475,54996.38217519237,80380.14719230404,924.6108404979321,7593.842744203432,9,1,2,4958.5687936053,5978.722128191602,1.1368683772161603e-13,9.094947017729282e-13
152,2025-06-02,0.95,0,0.0,74972.53373675201,43512.35960272075,74972.53373675201,0.0,1.4000000000000006,28,151,0.06534106100002646,40034.46150922208,42794.59719689324,82829.05870611532,82820.45747032782,67244.16360693717,6723.673507820791,1344.4673134716372,28,1,2,4958.5687936053,4979.417466400204,5.684341886080802e-14,9.094947017729282e-13
152,2025-06-02,0.95,1,0.25,68578.30500699952,43962.28559661808,68578.30501699953,0.12153635045146291,1.4000000000000006,28,151,0.11745685899995806,41721.177180788756,35316.11777598168,77037.29495677043,76968.001259585,69703.86347869781,5531.569038547248,2419.101158319557,23,1,2,4958.5687936053,5126.530892896705,1.1368683772161603e-13,9.094947017729282e-13
