date,beta,budget_index,lambda_risk,constrained_value,penalty_value,relative_gap
2025-06-15,0.9,1,0.07142857142857147,66170.34910185762,66170.3491018576,2.1991595066193072e-16
2025-06-15,0.9,2,0.18055555555555539,74691.18559281304,74691.18559281302,1.9482774457080074e-16
2025-06-15,0.9,3,0.24999999999999972,79795.59781247383,79795.59781247382,1.823648876290775e-16
2025-06-15,0.9,4,24.40574282147315,1674303.3997014964,1674303.3997014964,0.0
2025-06-15,0.95,1,0.07142857142857144,66723.32798503581,66723.32798503585,6.54280099681049e-16
2025-06-15,0.95,2,0.11894924746195805,70745.02160264358,70745.02160338065,1.0418670339404729e-11
2025-06-15,0.95,3,0.2500000000000002,80587.77167506985,80587.77167506982,3.6114449936747773e-16
2025-06-15,0.95,4,24.40574282147315,1674303.3997014961,1674303.3997014964,1.3906120222617952e-16
2025-07-15,0.9,1,0.09004739336492894,69393.9696282796,69393.96962827959,2.096999970792364e-16
2025-07-15,0.9,2,0.2710032862747165,82509.42277134603,82509.4227711221,2.713930894349609e-12
2025-07-15,0.9,3,0.7913385826771656,119278.06110385888,119278.0611038589,1.2199993103254817e-16
2025-07-15,0.9,4,15.20486267259617,1099862.610140271,1099862.6101402715,4.233813232803242e-16
2025-07-15,0.95,1,0.11135964196978584,71128.91518922894,71128.91518922892,2.0458508596192467e-16
2025-07-15,0.95,2,0.2845583960604991,83844.31296609793,83844.31296639987,3.6011707698704734e-12
2025-07-15,0.95,3,0.6642851392690368,111017.98132708413,111017.98132708407,5.243084067793887e-16
2025-07-15,0.95,4,16.05138534952281,1161375.213796775,1161375.2137967756,4.0095679826453026e-16
2025-08-15,0.9,1,0.09848484848484855,29240.30999913825,29240.309999138244,2.4883312161867836e-16
2025-08-15,0.9,2,0.2826793376027702,34657.79055262148,34657.79055262148,0.0
2025-08-15,0.9,3,0.5594135471202707,42645.812302828825,42645.81230282882,1.70613648123682e-16
2025-08-15,0.9,4,186.38024748764235,5272872.851466477,5272872.851466476,1.766252668801717e-16
2025-08-15,0.95,1,0.09913793103448285,29444.252141681725,29444.25214168173,1.2355480416300796e-16
2025-08-15,0.95,2,0.2287010258138187,33444.90465628523,33444.90465628522,2.1755055632416254e-16
2025-08-15,0.95,3,0.4835035588469689,41073.44585152837,41073.44585152838,1.771450498817275e-16
2025-08-15,0.95,4,9.921065604853991,310815.8205758998,310815.82057589985,1.872738035200926e-16
2025-09-15,0.9,1,0.07819905213270151,45138.285311962485,45138.285311962485,0.0
2025-09-15,0.9,2,0.1608723337289414,49211.945358565776,49211.94535856579,2.9569884145687326e-16
2025-09-15,0.9,3,0.807476395454979,79881.54494710191,79881.54494557949,1.9058486815695635e-11
2025-09-15,0.9,4,210.20178602448922,9539703.44534269,9539703.445342695,5.857556767575325e-16
2025-09-15,0.95,1,0.05421686746987953,44149.69519551788,44149.695195517896,3.296039794595043e-16
2025-09-15,0.95,2,0.20481927710843398,51997.40225282967,51997.40225282966,1.399292522115847e-16
2025-09-15,0.95,3,0.32530120481927755,57985.97822536729,57985.97822536729,0.0
2025-09-15,0.95,4,210.20178602448922,9539703.44534269,9539703.445342733,4.490793521807749e-15
2025-10-15,0.9,1,0.06216396568160154,47831.59688921477,47831.596889214765,1.5211613425819019e-16
2025-10-15,0.9,2,0.2284482758620689,56465.13990286005,56465.13990286005,0.0
2025-10-15,0.9,3,0.6842305925325008,79605.84236011624,79605.84236011477,1.846275844197858e-14
2025-10-15,0.9,4,85.05307701734908,4236309.772251613,4236309.772251614,2.1984288795776078e-16
2025-10-15,0.95,1,0.07758620689655188,49037.759761948415,49037.759761948415,0.0
2025-10-15,0.95,2,0.2715517241379315,59847.1777689237,59847.17776892371,2.43151235711621e-16
2025-10-15,0.95,3,0.5301724137931042,73665.22117630795,73665.22117630797,1.9754118695359333e-16
2025-10-15,0.95,4,197.27551020407248,9975643.205619426,9975643.205619428,1.8671930329080952e-16
2025-11-15,0.9,1,0.10236220472440967,23699.74921864436,23699.74921864436,0.0
2025-11-15,0.9,2,0.1987213139343033,25923.48795323328,25923.48795323328,0.0
2025-11-15,0.9,3,0.4670407854416781,32034.057636593207,32034.057636593214,2.27131938661181e-16
2025-11-15,0.9,4,538.7128226646207,12084145.23364841,12084145.233648412,1.5413958647603846e-16
2025-11-15,0.95,1,0.09345158037596446,23516.079129923688,23516.07912992368,3.094035180773368e-16
2025-11-15,0.95,2,0.2090900543177331,26206.0290608862,26206.029060886205,1.3882220761639835e-16
2025-11-15,0.95,3,0.49882672589423466,32839.32986056258,32839.32986052783,1.0581815680432624e-12
2025-11-15,0.95,4,102.386567336149,2321210.425465927,2321210.4254659275,2.006114061004482e-16
2025-12-15,0.9,1,0.09416445623342176,72149.5771238663,72149.57712386627,4.0338185775875424e-16
2025-12-15,0.9,2,0.21559633027522926,80891.92241090394,80891.9224109039,3.5978660896320366e-16
2025-12-15,0.9,3,0.3554216867469879,90763.90067921503,90763.90067921502,1.6032712476513524e-16
2025-12-15,0.9,4,74.91475641675198,5180815.048312925,5180815.048312925,0.0
2025-12-15,0.95,1,0.08535865326522757,71857.28347372163,71857.28347372163,0.0
2025-12-15,0.95,2,0.13839285714285715,75831.85623397998,75831.85623397998,0.0
2025-12-15,0.95,3,0.2300000000000001,82430.8746895233,82430.8746895233,0.0
2025-12-15,0.95,4,91.86216089710662,6340055.082693424,6340055.082693426,2.937900578049325e-16
