slope,weekday,fold,train_window,val_block,samples,mae_kw,rmse_kw
0.2000000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,163.7154611327,203.5385834674
0.2000000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,132.3145545946,163.0530239920
0.2000000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,123.3952511176,153.6535153994
0.2000000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,172.1234644698,214.1360931443
0.2000000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,136.3979655586,167.8637114285
0.2000000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,125.4816178461,156.4508295658
0.2000000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,192.8416576538,241.0296880415
0.2000000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,147.2345664700,181.8175328962
0.2000000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,133.7087310938,166.9228707195
0.2000000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,232.0595831856,292.9392316949
0.2000000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,170.5835845278,215.0045276141
0.2000000000,0.1000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,157.3292234231,196.5217458828
0.2000000000,0.2000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,291.0183338552,376.2972919256
0.2000000000,0.2000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,212.7728166487,277.9029768566
0.2000000000,0.2000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,205.9531475333,259.7589410930
0.2000000000,0.4000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,369.9618138433,497.5603925731
0.2000000000,0.4000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,279.3608747619,377.9011103061
0.2000000000,0.4000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,286.5039706105,367.5451092673
0.4000000000,0.0062500000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,155.8726975888,194.1075875825
0.4000000000,0.0062500000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,130.0683967248,160.6706066442
0.4000000000,0.0062500000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,122.8405028944,152.8783035658
0.4000000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,157.5675970030,196.2817691280
0.4000000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,131.5775358987,162.1504435737
0.4000000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,123.2244207701,153.3945068244
0.4000000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,164.2339182263,204.3235634349
0.4000000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,135.6581515845,166.9484388790
0.4000000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,125.3017689985,156.2001543638
0.4000000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,181.5841067442,226.8619743089
0.4000000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,146.4707541246,180.8431837955
0.4000000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,133.5293313314,166.6756500769
0.4000000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,216.1891368673,274.8830098676
