variant,alpha0,alpha_update,settlement,terminal,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
main_net_refund,0.6000000000,0.6000000000,net_refund,inventory_value,13316848.6418171115,13316954.9512898661,283247.9389554954,50525.2463582961,554456.1787715681,706671.1125601552,12608718.1052160729,658810.7557100903,-233928.1580645460,20727220.7051728889,20575005.7713842988,61228.6855834437,63177.3650272813,8422.8171134135
legacy_gross_settlement,0.6000000000,0.6000000000,legacy_gross,inventory_value,13356775.2778189927,13356881.0526672453,175039.5085876202,31936.5360652892,513983.5968344073,0.0000000000,12590546.0759341251,591189.6932972486,0.0000000000,20684185.1223737299,21198168.7192081362,61169.1339032346,63131.6417403645,8424.1129982793
stepwise_settlement,0.6000000000,0.6000000000,stepwise,inventory_value,13484278.2050936148,13484391.4371475950,283264.6972973124,50467.0125747413,795415.4020541131,948513.9796272943,12608723.3004518580,910468.2090364189,-318178.0016919735,20727229.7516251355,20574131.1740519553,61583.7850888430,63759.6969045040,8406.0373582249
fixed_target_soc,0.6000000000,0.6000000000,net_refund,fixed_target,13315813.2803533003,13316962.2831322998,284147.2587949472,50683.0000295953,555545.4047188410,705771.3809482951,12605410.5216290187,659987.6360533310,-233732.1361239981,20716229.4067758396,20566003.4305463806,61204.1635270521,63230.1860516109,5895.4161556397
day_horizon_only,0.6000000000,0.6000000000,net_refund,inventory_value,13319318.8863382600,13319425.1958110146,285920.2202886884,51074.8718814965,554456.1787715681,706868.5107080608,12608605.1367424577,658810.7557100903,-234017.2264029769,20726977.8561258689,20574565.5241893753,61228.6855834437,63177.3650272813,8422.8171134135
theory_quantiles,0.8000000000,0.7000000000,net_refund,inventory_value,13419805.1255471855,13419838.9060021732,142897.7746673017,25036.4799751657,225990.3362490325,1270082.9031611425,13422068.8786558770,283697.6991221903,-428859.2268981844,21930914.8903087899,20886822.3233966753,62076.7687993164,63394.0959379754,8598.6213579337
single_window_params,0.5500000000,0.5500000000,net_refund,inventory_value,13356629.6377145760,13356747.0969201438,380127.2703710074,68072.4204419733,623390.9120105706,623036.8243526574,12441976.9258782305,741642.9495350918,-207117.5080697548,20481980.0109790042,20482334.0986369178,61296.7716545734,63383.2374738581,8395.7910979702
no_intraday_bias_correction,0.6000000000,0.6000000000,net_refund,inventory_value,13393360.3972100355,13393472.3830193430,434018.1364606941,77320.0512338496,490744.7667244843,638479.4881009930,12603044.1612430289,554425.3972944841,-198127.2977881718,20713526.9223044142,20565792.2009279057,61190.3682818431,63835.2825760699,8409.0581505827
