strategy,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
none,14581164.9275459070,14581276.9133552164,1968450.6081150649,318765.6341344386,0.0000000000,0.0000000000,12612714.3194308411,0.0000000000,0.0000000000,20736497.8511057496,20736497.8511057496,66807.5883157115,76685.6195329927,8409.0581505827
18,13662196.7161525041,13662303.0256252587,577738.1405179397,111810.4709839659,260111.1396112900,58994.1389546113,12608511.8812374547,505766.1676696088,-29819.4732724990,20726689.5973086245,20927806.5979653038,61595.6663951370,66313.3431724181,8422.8171134135
12,13771887.1047602873,13772008.2500953861,998618.7017751280,175287.7610102215,297374.0514336633,481359.4071823612,12606291.4311240353,320507.5060303088,-153530.5341691836,20721216.8938280940,20537231.5380793996,62185.2111612760,66744.8487665043,8386.8562297342
12+18,13510789.8567342926,13510896.1662070453,578993.1274654473,112036.7828187548,393902.7355970968,531595.5506432990,12608705.3264640644,503236.2326659685,-180144.8298611887,20727190.5329288282,20589497.7178826295,61675.4674318137,65404.5423023513,8422.8171134135
6,14155690.2208497301,14155803.0943835638,1233454.9372488821,192218.8485046807,502641.7419658931,581557.8061501642,12608001.9443897475,500361.2971771958,-186127.9579660957,20725245.5384559780,20646329.4742716998,63827.4551268707,69426.0381795966,8406.9063809273
6+18,13527945.3744529001,13528051.6839256566,283003.6845428911,50476.4335168425,684680.3209955055,639680.1453822872,12609360.8020041324,851931.9486491962,-216351.0607433182,20728735.1621903852,20773735.3378036022,61809.5225990071,63651.6496139525,8422.8171134135
6+12,13589150.8179068081,13589271.9632419087,718090.1636541407,115996.7925730568,455830.8556819329,656885.2427754012,12606468.7342518996,472364.5792099559,-207772.6592091875,20721645.0635038279,20520590.6764103621,62382.2176336425,64315.9940215365,8386.8562297342
6+12+18,13316848.6418171115,13316954.9512898661,283247.9389554954,50525.2463582961,554456.1787715681,706671.1125601552,12608718.1052160729,658810.7557100903,-233928.1580645460,20727220.7051728889,20575005.7713842988,61228.6855834437,63177.3650272813,8422.8171134135
