method,total_cost,adjusted_cost,plan_cost,up_cost,down_net_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,equivalent_cycles,cvar95,max_daily,daily_std,final_soc
inherited_hybrid,13310698.979944188,13307895.347482143,12444596.572033202,704044.8184592688,-150150.29445828652,312207.8839100037,54734.17872192706,590755.176140577,462951.6479864811,6736866.567285495,5450745.726950063,1339755.0916397234,227.11440528958596,62961.23112838906,68195.16339126881,14049.04065023346,8316.42431928359
joint_hybrid,13288334.657379515,13285529.175148197,12452198.019029044,690868.9838858362,-149091.05860258007,294358.71306721616,52333.99050169328,583701.6729318479,461589.7128995499,6745816.637939168,5457991.248862781,1335174.805417933,227.4163020359492,63021.04484530762,68726.4551549946,14014.90919403196,8320.908004570267
